commandId,sectionId,sectionName,name,isToggle,namedId
279,0,Main,Track: Toggle solo for track 33,1,
280,0,Main,Track: Toggle FX bypass for track 33,1,
281,0,Main,Track: Toggle record arm for track 33,1,
282,0,Main,Track: Set mute for track 33 (MIDI CC/OSC only),0,
283,0,Main,Track: Set solo for track 33 (MIDI CC/OSC only),0,
284,0,Main,Track: Set volume for track 34 (MIDI CC/OSC only),0,
285,0,Main,Track: Set pan for track 34 (MIDI CC/OSC only),0,
286,0,Main,Track: Toggle mute for track 34,1,
287,0,Main,Track: Toggle solo for track 34,1,
288,0,Main,Track: Toggle FX bypass for track 34,1,
289,0,Main,Track: Toggle record arm for track 34,1,
290,0,Main,Track: Set mute for track 34 (MIDI CC/OSC only),0,
291,0,Main,Track: Set solo for track 34 (MIDI CC/OSC only),0,
292,0,Main,Track: Set volume for track 35 (MIDI CC/OSC only),0,
293,0,Main,Track: Set pan for track 35 (MIDI CC/OSC only),0,
294,0,Main,Track: Toggle mute for track 35,1,
295,0,Main,Track: Toggle solo for track 35,1,
296,0,Main,Track: Toggle FX bypass for track 35,1,
297,0,Main,Track: Toggle record arm for track 35,1,
298,0,Main,Track: Set mute for track 35 (MIDI CC/OSC only),0,
299,0,Main,Track: Set solo for track 35 (MIDI CC/OSC only),0,
300,0,Main,Track: Set volume for track 36 (MIDI CC/OSC only),0,
301,0,Main,Track: Set pan for track 36 (MIDI CC/OSC only),0,
302,0,Main,Track: Toggle mute for track 36,1,
303,0,Main,Track: Toggle solo for track 36,1,
304,0,Main,Track: Toggle FX bypass for track 36,1,
305,0,Main,Track: Toggle record arm for track 36,1,
306,0,Main,Track: Set mute for track 36 (MIDI CC/OSC only),0,
307,0,Main,Track: Set solo for track 36 (MIDI CC/OSC only),0,
308,0,Main,Track: Set volume for track 37 (MIDI CC/OSC only),0,
309,0,Main,Track: Set pan for track 37 (MIDI CC/OSC only),0,
310,0,Main,Track: Toggle mute for track 37,1,
311,0,Main,Track: Toggle solo for track 37,1,
312,0,Main,Track: Toggle FX bypass for track 37,1,
313,0,Main,Track: Toggle record arm for track 37,1,
314,0,Main,Track: Set mute for track 37 (MIDI CC/OSC only),0,
315,0,Main,Track: Set solo for track 37 (MIDI CC/OSC only),0,
316,0,Main,Track: Set volume for track 38 (MIDI CC/OSC only),0,
317,0,Main,Track: Set pan for track 38 (MIDI CC/OSC only),0,
318,0,Main,Track: Toggle mute for track 38,1,
319,0,Main,Track: Toggle solo for track 38,1,
320,0,Main,Track: Toggle FX bypass for track 38,1,
321,0,Main,Track: Toggle record arm for track 38,1,
